# Generated by generate_float8_fixtures.py; do not edit by hand.
# schema=v1; f8_bits_hex,f16_bits_hex,sign,classification,finite_value_f32_bits_hex,finite_value_hex
f8_bits_hex,f16_bits_hex,sign,classification,finite_value_f32_bits_hex,finite_value_hex
0x00,0x0000,positive,zero,0x00000000,0x0.0p+0
0x01,0x0100,positive,subnormal,0x37800000,0x1.0000000000000p-16
0x02,0x0200,positive,subnormal,0x38000000,0x1.0000000000000p-15
0x03,0x0300,positive,subnormal,0x38400000,0x1.8000000000000p-15
0x04,0x0400,positive,normal,0x38800000,0x1.0000000000000p-14
0x05,0x0500,positive,normal,0x38a00000,0x1.4000000000000p-14
0x06,0x0600,positive,normal,0x38c00000,0x1.8000000000000p-14
0x07,0x0700,positive,normal,0x38e00000,0x1.c000000000000p-14
0x08,0x0800,positive,normal,0x39000000,0x1.0000000000000p-13
0x09,0x0900,positive,normal,0x39200000,0x1.4000000000000p-13
0x0a,0x0a00,positive,normal,0x39400000,0x1.8000000000000p-13
0x0b,0x0b00,positive,normal,0x39600000,0x1.c000000000000p-13
0x0c,0x0c00,positive,normal,0x39800000,0x1.0000000000000p-12
0x0d,0x0d00,positive,normal,0x39a00000,0x1.4000000000000p-12
0x0e,0x0e00,positive,normal,0x39c00000,0x1.8000000000000p-12
0x0f,0x0f00,positive,normal,0x39e00000,0x1.c000000000000p-12
0x10,0x1000,positive,normal,0x3a000000,0x1.0000000000000p-11
0x11,0x1100,positive,normal,0x3a200000,0x1.4000000000000p-11
0x12,0x1200,positive,normal,0x3a400000,0x1.8000000000000p-11
0x13,0x1300,positive,normal,0x3a600000,0x1.c000000000000p-11
0x14,0x1400,positive,normal,0x3a800000,0x1.0000000000000p-10
0x15,0x1500,positive,normal,0x3aa00000,0x1.4000000000000p-10
0x16,0x1600,positive,normal,0x3ac00000,0x1.8000000000000p-10
0x17,0x1700,positive,normal,0x3ae00000,0x1.c000000000000p-10
0x18,0x1800,positive,normal,0x3b000000,0x1.0000000000000p-9
0x19,0x1900,positive,normal,0x3b200000,0x1.4000000000000p-9
0x1a,0x1a00,positive,normal,0x3b400000,0x1.8000000000000p-9
0x1b,0x1b00,positive,normal,0x3b600000,0x1.c000000000000p-9
0x1c,0x1c00,positive,normal,0x3b800000,0x1.0000000000000p-8
0x1d,0x1d00,positive,normal,0x3ba00000,0x1.4000000000000p-8
0x1e,0x1e00,positive,normal,0x3bc00000,0x1.8000000000000p-8
0x1f,0x1f00,positive,normal,0x3be00000,0x1.c000000000000p-8
0x20,0x2000,positive,normal,0x3c000000,0x1.0000000000000p-7
0x21,0x2100,positive,normal,0x3c200000,0x1.4000000000000p-7
0x22,0x2200,positive,normal,0x3c400000,0x1.8000000000000p-7
0x23,0x2300,positive,normal,0x3c600000,0x1.c000000000000p-7
0x24,0x2400,positive,normal,0x3c800000,0x1.0000000000000p-6
0x25,0x2500,positive,normal,0x3ca00000,0x1.4000000000000p-6
0x26,0x2600,positive,normal,0x3cc00000,0x1.8000000000000p-6
0x27,0x2700,positive,normal,0x3ce00000,0x1.c000000000000p-6
0x28,0x2800,positive,normal,0x3d000000,0x1.0000000000000p-5
0x29,0x2900,positive,normal,0x3d200000,0x1.4000000000000p-5
0x2a,0x2a00,positive,normal,0x3d400000,0x1.8000000000000p-5
0x2b,0x2b00,positive,normal,0x3d600000,0x1.c000000000000p-5
0x2c,0x2c00,positive,normal,0x3d800000,0x1.0000000000000p-4
0x2d,0x2d00,positive,normal,0x3da00000,0x1.4000000000000p-4
0x2e,0x2e00,positive,normal,0x3dc00000,0x1.8000000000000p-4
0x2f,0x2f00,positive,normal,0x3de00000,0x1.c000000000000p-4
0x30,0x3000,positive,normal,0x3e000000,0x1.0000000000000p-3
0x31,0x3100,positive,normal,0x3e200000,0x1.4000000000000p-3
0x32,0x3200,positive,normal,0x3e400000,0x1.8000000000000p-3
0x33,0x3300,positive,normal,0x3e600000,0x1.c000000000000p-3
0x34,0x3400,positive,normal,0x3e800000,0x1.0000000000000p-2
0x35,0x3500,positive,normal,0x3ea00000,0x1.4000000000000p-2
0x36,0x3600,positive,normal,0x3ec00000,0x1.8000000000000p-2
0x37,0x3700,positive,normal,0x3ee00000,0x1.c000000000000p-2
0x38,0x3800,positive,normal,0x3f000000,0x1.0000000000000p-1
0x39,0x3900,positive,normal,0x3f200000,0x1.4000000000000p-1
0x3a,0x3a00,positive,normal,0x3f400000,0x1.8000000000000p-1
0x3b,0x3b00,positive,normal,0x3f600000,0x1.c000000000000p-1
0x3c,0x3c00,positive,normal,0x3f800000,0x1.0000000000000p+0
0x3d,0x3d00,positive,normal,0x3fa00000,0x1.4000000000000p+0
0x3e,0x3e00,positive,normal,0x3fc00000,0x1.8000000000000p+0
0x3f,0x3f00,positive,normal,0x3fe00000,0x1.c000000000000p+0
0x40,0x4000,positive,normal,0x40000000,0x1.0000000000000p+1
0x41,0x4100,positive,normal,0x40200000,0x1.4000000000000p+1
0x42,0x4200,positive,normal,0x40400000,0x1.8000000000000p+1
0x43,0x4300,positive,normal,0x40600000,0x1.c000000000000p+1
0x44,0x4400,positive,normal,0x40800000,0x1.0000000000000p+2
0x45,0x4500,positive,normal,0x40a00000,0x1.4000000000000p+2
0x46,0x4600,positive,normal,0x40c00000,0x1.8000000000000p+2
0x47,0x4700,positive,normal,0x40e00000,0x1.c000000000000p+2
0x48,0x4800,positive,normal,0x41000000,0x1.0000000000000p+3
0x49,0x4900,positive,normal,0x41200000,0x1.4000000000000p+3
0x4a,0x4a00,positive,normal,0x41400000,0x1.8000000000000p+3
0x4b,0x4b00,positive,normal,0x41600000,0x1.c000000000000p+3
0x4c,0x4c00,positive,normal,0x41800000,0x1.0000000000000p+4
0x4d,0x4d00,positive,normal,0x41a00000,0x1.4000000000000p+4
0x4e,0x4e00,positive,normal,0x41c00000,0x1.8000000000000p+4
0x4f,0x4f00,positive,normal,0x41e00000,0x1.c000000000000p+4
0x50,0x5000,positive,normal,0x42000000,0x1.0000000000000p+5
0x51,0x5100,positive,normal,0x42200000,0x1.4000000000000p+5
0x52,0x5200,positive,normal,0x42400000,0x1.8000000000000p+5
0x53,0x5300,positive,normal,0x42600000,0x1.c000000000000p+5
0x54,0x5400,positive,normal,0x42800000,0x1.0000000000000p+6
0x55,0x5500,positive,normal,0x42a00000,0x1.4000000000000p+6
0x56,0x5600,positive,normal,0x42c00000,0x1.8000000000000p+6
0x57,0x5700,positive,normal,0x42e00000,0x1.c000000000000p+6
0x58,0x5800,positive,normal,0x43000000,0x1.0000000000000p+7
0x59,0x5900,positive,normal,0x43200000,0x1.4000000000000p+7
0x5a,0x5a00,positive,normal,0x43400000,0x1.8000000000000p+7
