# Generated by generate_float8_fixtures.py; do not edit by hand.
# schema=v1; f32_bits_hex,f16_bits_hex,f8_bits_hex,checked,tags
f32_bits_hex,f16_bits_hex,f8_bits_hex,checked,tags
0x00000000,0x0000,0x00,accept,named_boundary|signed_zero
0x00000001,0x0000,0x00,accept,f32_subnormal
0x32ffffff,0x0000,0x00,accept,first_stage_boundary
0x33000000,0x0000,0x00,accept,first_stage_boundary
0x33000001,0x0001,0x00,accept,first_stage_boundary
0x337fffff,0x0001,0x00,accept,first_stage_boundary
0x33800000,0x0001,0x00,accept,first_stage_boundary|named_boundary|subnormal_normal_transition
0x33800001,0x0001,0x00,accept,first_stage_boundary
0x36fe0000,0x007f,0x00,accept,named_boundary|subnormal_normal_transition
0x37000000,0x0080,0x00,accept,named_boundary|stage2_tie|subnormal_normal_transition
0x37007fff,0x0080,0x00,accept,f32_f16_double_round_boundary|stage2_tie
0x37008000,0x0080,0x00,accept,f32_f16_double_round_boundary|stage2_tie
0x37008001,0x0081,0x01,accept,f32_f16_double_round_boundary|stage2_tie
0x37010000,0x0081,0x01,accept,named_boundary|subnormal_normal_transition
0x377f0000,0x00ff,0x01,accept,named_boundary|subnormal_normal_transition
0x377fffff,0x0100,0x01,accept,first_stage_boundary
0x37800000,0x0100,0x01,accept,first_stage_boundary|named_boundary|subnormal_normal_transition
0x37800001,0x0100,0x01,accept,first_stage_boundary
0x37bfbfff,0x017f,0x01,accept,f32_f16_double_round_boundary|stage2_tie
0x37bfc000,0x0180,0x02,accept,f32_f16_double_round_boundary|stage2_tie
0x37bfc001,0x0180,0x02,accept,f32_f16_double_round_boundary|stage2_tie
0x37c00000,0x0180,0x02,accept,stage2_tie
0x38200000,0x0280,0x02,accept,stage2_tie
0x38201fff,0x0280,0x02,accept,f32_f16_double_round_boundary|stage2_tie
0x38202000,0x0280,0x02,accept,f32_f16_double_round_boundary|stage2_tie
0x38202001,0x0281,0x03,accept,f32_f16_double_round_boundary|stage2_tie
0x383fc000,0x02ff,0x03,accept,named_boundary|subnormal_normal_transition
0x38400000,0x0300,0x03,accept,named_boundary|subnormal_normal_transition
0x385fc000,0x037f,0x03,accept,named_boundary|subnormal_normal_transition
0x385fdfff,0x037f,0x03,accept,f32_f16_double_round_boundary|stage2_tie
0x385fe000,0x0380,0x04,accept,f32_f16_double_round_boundary|stage2_tie
0x385fe001,0x0380,0x04,accept,f32_f16_double_round_boundary|stage2_tie
0x38600000,0x0380,0x04,accept,binade_carry|named_boundary|stage2_tie|subnormal_normal_transition
0x38604000,0x0381,0x04,accept,named_boundary|subnormal_normal_transition
0x387fc000,0x03ff,0x04,accept,named_boundary|subnormal_normal_transition
0x387fffff,0x0400,0x04,accept,first_stage_boundary
0x38800000,0x0400,0x04,accept,first_stage_boundary|named_boundary|subnormal_normal_transition
0x38800001,0x0400,0x04,accept,first_stage_boundary
0x38802000,0x0401,0x04,accept,named_boundary|subnormal_normal_transition
0x38900000,0x0480,0x04,accept,stage2_tie
0x38900fff,0x0480,0x04,accept,f32_f16_double_round_boundary|stage2_tie
0x38901000,0x0480,0x04,accept,f32_f16_double_round_boundary|stage2_tie
0x38901001,0x0481,0x05,accept,f32_f16_double_round_boundary|stage2_tie
0x38afefff,0x057f,0x05,accept,f32_f16_double_round_boundary|stage2_tie
0x38aff000,0x0580,0x06,accept,f32_f16_double_round_boundary|stage2_tie
0x38aff001,0x0580,0x06,accept,f32_f16_double_round_boundary|stage2_tie
0x38b00000,0x0580,0x06,accept,stage2_tie
0x38d00000,0x0680,0x06,accept,stage2_tie
0x38d00fff,0x0680,0x06,accept,f32_f16_double_round_boundary|stage2_tie
0x38d01000,0x0680,0x06,accept,f32_f16_double_round_boundary|stage2_tie
0x38d01001,0x0681,0x07,accept,f32_f16_double_round_boundary|stage2_tie
0x38efefff,0x077f,0x07,accept,f32_f16_double_round_boundary|stage2_tie
0x38eff000,0x0780,0x08,accept,f32_f16_double_round_boundary|stage2_tie
0x38eff001,0x0780,0x08,accept,f32_f16_double_round_boundary|stage2_tie
0x38f00000,0x0780,0x08,accept,binade_carry|stage2_tie
0x39100000,0x0880,0x08,accept,stage2_tie
0x39100fff,0x0880,0x08,accept,f32_f16_double_round_boundary|stage2_tie
0x39101000,0x0880,0x08,accept,f32_f16_double_round_boundary|stage2_tie
0x39101001,0x0881,0x09,accept,f32_f16_double_round_boundary|stage2_tie
0x392fefff,0x097f,0x09,accept,f32_f16_double_round_boundary|stage2_tie
0x392ff000,0x0980,0x0a,accept,f32_f16_double_round_boundary|stage2_tie
0x392ff001,0x0980,0x0a,accept,f32_f16_double_round_boundary|stage2_tie
0x39300000,0x0980,0x0a,accept,stage2_tie
0x39500000,0x0a80,0x0a,accept,stage2_tie
0x39500fff,0x0a80,0x0a,accept,f32_f16_double_round_boundary|stage2_tie
0x39501000,0x0a80,0x0a,accept,f32_f16_double_round_boundary|stage2_tie
0x39501001,0x0a81,0x0b,accept,f32_f16_double_round_boundary|stage2_tie
0x396fefff,0x0b7f,0x0b,accept,f32_f16_double_round_boundary|stage2_tie
0x396ff000,0x0b80,0x0c,accept,f32_f16_double_round_boundary|stage2_tie
0x396ff001,0x0b80,0x0c,accept,f32_f16_double_round_boundary|stage2_tie
0x39700000,0x0b80,0x0c,accept,binade_carry|stage2_tie
0x39900000,0x0c80,0x0c,accept,stage2_tie
0x39900fff,0x0c80,0x0c,accept,f32_f16_double_round_boundary|stage2_tie
0x39901000,0x0c80,0x0c,accept,f32_f16_double_round_boundary|stage2_tie
0x39901001,0x0c81,0x0d,accept,f32_f16_double_round_boundary|stage2_tie
0x39afefff,0x0d7f,0x0d,accept,f32_f16_double_round_boundary|stage2_tie
0x39aff000,0x0d80,0x0e,accept,f32_f16_double_round_boundary|stage2_tie
0x39aff001,0x0d80,0x0e,accept,f32_f16_double_round_boundary|stage2_tie
0x39b00000,0x0d80,0x0e,accept,stage2_tie
0x39d00000,0x0e80,0x0e,accept,stage2_tie
0x39d00fff,0x0e80,0x0e,accept,f32_f16_double_round_boundary|stage2_tie
0x39d01000,0x0e80,0x0e,accept,f32_f16_double_round_boundary|stage2_tie
0x39d01001,0x0e81,0x0f,accept,f32_f16_double_round_boundary|stage2_tie
0x39efefff,0x0f7f,0x0f,accept,f32_f16_double_round_boundary|stage2_tie
0x39eff000,0x0f80,0x10,accept,f32_f16_double_round_boundary|stage2_tie
0x39eff001,0x0f80,0x10,accept,f32_f16_double_round_boundary|stage2_tie
0x39f00000,0x0f80,0x10,accept,binade_carry|stage2_tie
0x3a100000,0x1080,0x10,accept,stage2_tie
0x3a100fff,0x1080,0x10,accept,f32_f16_double_round_boundary|stage2_tie
0x3a101000,0x1080,0x10,accept,f32_f16_double_round_boundary|stage2_tie
0x3a101001,0x1081,0x11,accept,f32_f16_double_round_boundary|stage2_tie
0x3a2fefff,0x117f,0x11,accept,f32_f16_double_round_boundary|stage2_tie
0x3a2ff000,0x1180,0x12,accept,f32_f16_double_round_boundary|stage2_tie
0x3a2ff001,0x1180,0x12,accept,f32_f16_double_round_boundary|stage2_tie
0x3a300000,0x1180,0x12,accept,stage2_tie
0x3a500000,0x1280,0x12,accept,stage2_tie
0x3a500fff,0x1280,0x12,accept,f32_f16_double_round_boundary|stage2_tie
0x3a501000,0x1280,0x12,accept,f32_f16_double_round_boundary|stage2_tie
0x3a501001,0x1281,0x13,accept,f32_f16_double_round_boundary|stage2_tie
0x3a6fefff,0x137f,0x13,accept,f32_f16_double_round_boundary|stage2_tie
0x3a6ff000,0x1380,0x14,accept,f32_f16_double_round_boundary|stage2_tie
0x3a6ff001,0x1380,0x14,accept,f32_f16_double_round_boundary|stage2_tie
0x3a700000,0x1380,0x14,accept,binade_carry|stage2_tie
0x3a900000,0x1480,0x14,accept,stage2_tie
0x3a900fff,0x1480,0x14,accept,f32_f16_double_round_boundary|stage2_tie
0x3a901000,0x1480,0x14,accept,f32_f16_double_round_boundary|stage2_tie
0x3a901001,0x1481,0x15,accept,f32_f16_double_round_boundary|stage2_tie
0x3aafefff,0x157f,0x15,accept,f32_f16_double_round_boundary|stage2_tie
0x3aaff000,0x1580,0x16,accept,f32_f16_double_round_boundary|stage2_tie
0x3aaff001,0x1580,0x16,accept,f32_f16_double_round_boundary|stage2_tie
0x3ab00000,0x1580,0x16,accept,stage2_tie
0x3ad00000,0x1680,0x16,accept,stage2_tie
0x3ad00fff,0x1680,0x16,accept,f32_f16_double_round_boundary|stage2_tie
0x3ad01000,0x1680,0x16,accept,f32_f16_double_round_boundary|stage2_tie
0x3ad01001,0x1681,0x17,accept,f32_f16_double_round_boundary|stage2_tie
0x3aefefff,0x177f,0x17,accept,f32_f16_double_round_boundary|stage2_tie
0x3aeff000,0x1780,0x18,accept,f32_f16_double_round_boundary|stage2_tie
0x3aeff001,0x1780,0x18,accept,f32_f16_double_round_boundary|stage2_tie
0x3af00000,0x1780,0x18,accept,binade_carry|stage2_tie
0x3b100000,0x1880,0x18,accept,stage2_tie
0x3b100fff,0x1880,0x18,accept,f32_f16_double_round_boundary|stage2_tie
0x3b101000,0x1880,0x18,accept,f32_f16_double_round_boundary|stage2_tie
0x3b101001,0x1881,0x19,accept,f32_f16_double_round_boundary|stage2_tie
0x3b2fefff,0x197f,0x19,accept,f32_f16_double_round_boundary|stage2_tie
0x3b2ff000,0x1980,0x1a,accept,f32_f16_double_round_boundary|stage2_tie
0x3b2ff001,0x1980,0x1a,accept,f32_f16_double_round_boundary|stage2_tie
0x3b300000,0x1980,0x1a,accept,stage2_tie
0x3b500000,0x1a80,0x1a,accept,stage2_tie
0x3b500fff,0x1a80,0x1a,accept,f32_f16_double_round_boundary|stage2_tie
0x3b501000,0x1a80,0x1a,accept,f32_f16_double_round_boundary|stage2_tie
0x3b501001,0x1a81,0x1b,accept,f32_f16_double_round_boundary|stage2_tie
0x3b6fefff,0x1b7f,0x1b,accept,f32_f16_double_round_boundary|stage2_tie
0x3b6ff000,0x1b80,0x1c,accept,f32_f16_double_round_boundary|stage2_tie
0x3b6ff001,0x1b80,0x1c,accept,f32_f16_double_round_boundary|stage2_tie
0x3b700000,0x1b80,0x1c,accept,binade_carry|stage2_tie
0x3b900000,0x1c80,0x1c,accept,stage2_tie
0x3b900fff,0x1c80,0x1c,accept,f32_f16_double_round_boundary|stage2_tie
0x3b901000,0x1c80,0x1c,accept,f32_f16_double_round_boundary|stage2_tie
0x3b901001,0x1c81,0x1d,accept,f32_f16_double_round_boundary|stage2_tie
0x3bafefff,0x1d7f,0x1d,accept,f32_f16_double_round_boundary|stage2_tie
0x3baff000,0x1d80,0x1e,accept,f32_f16_double_round_boundary|stage2_tie
0x3baff001,0x1d80,0x1e,accept,f32_f16_double_round_boundary|stage2_tie
0x3bb00000,0x1d80,0x1e,accept,stage2_tie
0x3bd00000,0x1e80,0x1e,accept,stage2_tie
0x3bd00fff,0x1e80,0x1e,accept,f32_f16_double_round_boundary|stage2_tie
0x3bd01000,0x1e80,0x1e,accept,f32_f16_double_round_boundary|stage2_tie
0x3bd01001,0x1e81,0x1f,accept,f32_f16_double_round_boundary|stage2_tie
0x3befefff,0x1f7f,0x1f,accept,f32_f16_double_round_boundary|stage2_tie
0x3beff000,0x1f80,0x20,accept,f32_f16_double_round_boundary|stage2_tie
0x3beff001,0x1f80,0x20,accept,f32_f16_double_round_boundary|stage2_tie
0x3bf00000,0x1f80,0x20,accept,binade_carry|stage2_tie
0x3c100000,0x2080,0x20,accept,stage2_tie
0x3c100fff,0x2080,0x20,accept,f32_f16_double_round_boundary|stage2_tie
0x3c101000,0x2080,0x20,accept,f32_f16_double_round_boundary|stage2_tie
0x3c101001,0x2081,0x21,accept,f32_f16_double_round_boundary|stage2_tie
0x3c2fefff,0x217f,0x21,accept,f32_f16_double_round_boundary|stage2_tie
0x3c2ff000,0x2180,0x22,accept,f32_f16_double_round_boundary|stage2_tie
0x3c2ff001,0x2180,0x22,accept,f32_f16_double_round_boundary|stage2_tie
0x3c300000,0x2180,0x22,accept,stage2_tie
0x3c500000,0x2280,0x22,accept,stage2_tie
0x3c500fff,0x2280,0x22,accept,f32_f16_double_round_boundary|stage2_tie
0x3c501000,0x2280,0x22,accept,f32_f16_double_round_boundary|stage2_tie
0x3c501001,0x2281,0x23,accept,f32_f16_double_round_boundary|stage2_tie
0x3c6fefff,0x237f,0x23,accept,f32_f16_double_round_boundary|stage2_tie
0x3c6ff000,0x2380,0x24,accept,f32_f16_double_round_boundary|stage2_tie
0x3c6ff001,0x2380,0x24,accept,f32_f16_double_round_boundary|stage2_tie
0x3c700000,0x2380,0x24,accept,binade_carry|stage2_tie
0x3c900000,0x2480,0x24,accept,stage2_tie
0x3c900fff,0x2480,0x24,accept,f32_f16_double_round_boundary|stage2_tie
0x3c901000,0x2480,0x24,accept,f32_f16_double_round_boundary|stage2_tie
0x3c901001,0x2481,0x25,accept,f32_f16_double_round_boundary|stage2_tie
0x3cafefff,0x257f,0x25,accept,f32_f16_double_round_boundary|stage2_tie
0x3caff000,0x2580,0x26,accept,f32_f16_double_round_boundary|stage2_tie
0x3caff001,0x2580,0x26,accept,f32_f16_double_round_boundary|stage2_tie
0x3cb00000,0x2580,0x26,accept,stage2_tie
0x3cd00000,0x2680,0x26,accept,stage2_tie
0x3cd00fff,0x2680,0x26,accept,f32_f16_double_round_boundary|stage2_tie
0x3cd01000,0x2680,0x26,accept,f32_f16_double_round_boundary|stage2_tie
0x3cd01001,0x2681,0x27,accept,f32_f16_double_round_boundary|stage2_tie
0x3cefefff,0x277f,0x27,accept,f32_f16_double_round_boundary|stage2_tie
0x3ceff000,0x2780,0x28,accept,f32_f16_double_round_boundary|stage2_tie
0x3ceff001,0x2780,0x28,accept,f32_f16_double_round_boundary|stage2_tie
0x3cf00000,0x2780,0x28,accept,binade_carry|stage2_tie
0x3d100000,0x2880,0x28,accept,stage2_tie
0x3d100fff,0x2880,0x28,accept,f32_f16_double_round_boundary|stage2_tie
0x3d101000,0x2880,0x28,accept,f32_f16_double_round_boundary|stage2_tie
0x3d101001,0x2881,0x29,accept,f32_f16_double_round_boundary|stage2_tie
0x3d2fefff,0x297f,0x29,accept,f32_f16_double_round_boundary|stage2_tie
0x3d2ff000,0x2980,0x2a,accept,f32_f16_double_round_boundary|stage2_tie
0x3d2ff001,0x2980,0x2a,accept,f32_f16_double_round_boundary|stage2_tie
0x3d300000,0x2980,0x2a,accept,stage2_tie
0x3d500000,0x2a80,0x2a,accept,stage2_tie
0x3d500fff,0x2a80,0x2a,accept,f32_f16_double_round_boundary|stage2_tie
0x3d501000,0x2a80,0x2a,accept,f32_f16_double_round_boundary|stage2_tie
0x3d501001,0x2a81,0x2b,accept,f32_f16_double_round_boundary|stage2_tie
0x3d6fefff,0x2b7f,0x2b,accept,f32_f16_double_round_boundary|stage2_tie
0x3d6ff000,0x2b80,0x2c,accept,f32_f16_double_round_boundary|stage2_tie
0x3d6ff001,0x2b80,0x2c,accept,f32_f16_double_round_boundary|stage2_tie
0x3d700000,0x2b80,0x2c,accept,binade_carry|stage2_tie
0x3d900000,0x2c80,0x2c,accept,stage2_tie
0x3d900fff,0x2c80,0x2c,accept,f32_f16_double_round_boundary|stage2_tie
0x3d901000,0x2c80,0x2c,accept,f32_f16_double_round_boundary|stage2_tie
0x3d901001,0x2c81,0x2d,accept,f32_f16_double_round_boundary|stage2_tie
0x3dafefff,0x2d7f,0x2d,accept,f32_f16_double_round_boundary|stage2_tie
0x3daff000,0x2d80,0x2e,accept,f32_f16_double_round_boundary|stage2_tie
0x3daff001,0x2d80,0x2e,accept,f32_f16_double_round_boundary|stage2_tie
0x3db00000,0x2d80,0x2e,accept,stage2_tie
0x3dd00000,0x2e80,0x2e,accept,stage2_tie
0x3dd00fff,0x2e80,0x2e,accept,f32_f16_double_round_boundary|stage2_tie
0x3dd01000,0x2e80,0x2e,accept,f32_f16_double_round_boundary|stage2_tie
0x3dd01001,0x2e81,0x2f,accept,f32_f16_double_round_boundary|stage2_tie
0x3defefff,0x2f7f,0x2f,accept,f32_f16_double_round_boundary|stage2_tie
0x3deff000,0x2f80,0x30,accept,f32_f16_double_round_boundary|stage2_tie
0x3deff001,0x2f80,0x30,accept,f32_f16_double_round_boundary|stage2_tie
0x3df00000,0x2f80,0x30,accept,binade_carry|stage2_tie
0x3e100000,0x3080,0x30,accept,stage2_tie
0x3e100fff,0x3080,0x30,accept,f32_f16_double_round_boundary|stage2_tie
0x3e101000,0x3080,0x30,accept,f32_f16_double_round_boundary|stage2_tie
0x3e101001,0x3081,0x31,accept,f32_f16_double_round_boundary|stage2_tie
0x3e2fefff,0x317f,0x31,accept,f32_f16_double_round_boundary|stage2_tie
0x3e2ff000,0x3180,0x32,accept,f32_f16_double_round_boundary|stage2_tie
0x3e2ff001,0x3180,0x32,accept,f32_f16_double_round_boundary|stage2_tie
0x3e300000,0x3180,0x32,accept,stage2_tie
0x3e500000,0x3280,0x32,accept,stage2_tie
0x3e500fff,0x3280,0x32,accept,f32_f16_double_round_boundary|stage2_tie
0x3e501000,0x3280,0x32,accept,f32_f16_double_round_boundary|stage2_tie
0x3e501001,0x3281,0x33,accept,f32_f16_double_round_boundary|stage2_tie
0x3e6fefff,0x337f,0x33,accept,f32_f16_double_round_boundary|stage2_tie
0x3e6ff000,0x3380,0x34,accept,f32_f16_double_round_boundary|stage2_tie
0x3e6ff001,0x3380,0x34,accept,f32_f16_double_round_boundary|stage2_tie
0x3e700000,0x3380,0x34,accept,binade_carry|stage2_tie
0x3e900000,0x3480,0x34,accept,stage2_tie
0x3e900fff,0x3480,0x34,accept,f32_f16_double_round_boundary|stage2_tie
0x3e901000,0x3480,0x34,accept,f32_f16_double_round_boundary|stage2_tie
0x3e901001,0x3481,0x35,accept,f32_f16_double_round_boundary|stage2_tie
0x3eafefff,0x357f,0x35,accept,f32_f16_double_round_boundary|stage2_tie
0x3eaff000,0x3580,0x36,accept,f32_f16_double_round_boundary|stage2_tie
0x3eaff001,0x3580,0x36,accept,f32_f16_double_round_boundary|stage2_tie
0x3eb00000,0x3580,0x36,accept,stage2_tie
0x3ed00000,0x3680,0x36,accept,stage2_tie
0x3ed00fff,0x3680,0x36,accept,f32_f16_double_round_boundary|stage2_tie
